Feature1,Feature2,Feature3,Feature4,Feature5,Price
374.54011884736246,3,1,1926.0949384628632,5,132439.28447806684
950.7143064099162,4,1,252.4198949851465,4,106891.44810841623
731.9939418114051,3,1,484.8861422838413,3,99282.72348302597
598.6584841970366,1,2,2695.6625655812377,4,197534.07719369026
156.01864044243652,4,2,1819.2871789787698,5,107205.25081706708
155.99452033620264,1,1,27.591154849888945,2,18121.63804418616
58.08361216819946,4,2,304.41462859809633,4,19689.69093219454
866.1761457749352,4,2,1990.5053073241675,2,187826.38924360657
601.1150117432088,2,2,15.18475153865606,3,61939.21277218383
708.0725777960455,1,2,482.42415425249595,1,93503.20957637439
20.584494295802447,3,2,1646.2013680997584,3,80738.1746107046
969.9098521619943,3,1,2075.68559307808,4,198264.1246615397
832.4426408004217,1,2,1955.8837785078017,2,179690.04754906983
212.33911067827614,3,1,672.8079283816794,2,57138.18212240513
181.82496720710063,3,1,2136.5376640426075,5,128040.0994745191
183.4045098534338,1,2,711.7472624904002,2,53038.77835891484
304.24224295953775,4,1,976.1990944778032,5,78323.34831430133
524.7564316322379,1,1,2239.4742153540724,1,164957.60004287233
431.94501864211577,4,1,1948.8986971416439,4,140573.72973944023
291.22914019804193,3,2,2547.670231482534,5,158303.29376187903
611.8528947223795,3,2,1972.83867690103,1,158735.8471301152
139.49386065204183,3,1,1704.9258100064148,2,101033.96254108692
292.14464853521815,2,2,281.0243034842774,2,42757.23043199617
366.3618432936917,4,2,1103.1474091783007,1,93436.50421041992
456.06998421703594,2,2,795.6071030451764,2,84815.27264938533
785.1759613930136,2,2,731.9689301372507,1,113864.85328034715
199.67378215835973,1,1,2919.0316642573366,5,169708.59670838274
514.2344384136117,2,1,1179.2931740002812,5,112463.55670646905
592.4145688620424,1,2,2676.1396655313397,1,189459.3499625008
46.45041271999772,1,2,1893.4158779917886,5,98397.2881480094
607.5448519014384,2,1,2384.4339106249454,5,182331.02656494826
170.52412368729154,4,1,1507.9112793155764,5,89959.65539608094
65.05159298527951,4,2,1730.7116538790774,3,94507.09865152805
948.8855372533333,4,1,1477.5530814565916,4,170010.3200051025
965.6320330745593,4,2,585.7289633941335,2,124381.35832097878
808.3973481164611,4,2,2167.356345784516,3,189114.9180083803
304.6137691733707,2,1,842.3170873225674,5,68342.19578620489
97.67211400638386,2,1,72.94789929436152,1,16920.4693984899
684.2330265121569,3,2,1936.4168877215034,5,164560.962018897
440.1524937396013,4,2,531.3320382211468,4,72109.47738776999
122.03823484477883,2,1,2821.3757530587427,5,154445.29382036586
495.17691011127016,3,2,2861.785731007762,1,195277.73913771508
34.388521115218396,4,1,2744.5931706613455,4,139711.903830784
909.3204020787821,1,2,1110.4761007663333,5,146838.4907012498
258.7799816000169,3,1,46.369849586602285,4,29244.70904456086
662.522284353982,2,1,2784.9556877631762,2,207205.09600641797
311.71107608941094,1,1,1284.552444951943,2,97687.43853335608
520.0680211778108,1,2,2899.9644571310087,5,196025.26151318086
546.7102793432797,1,2,2890.8599312677584,4,197865.56961110703
184.85445552552704,3,1,2559.0283664020803,1,149102.08660515305
969.5846277645586,2,2,883.3466762087571,5,137006.64471694943
775.1328233611146,1,1,1155.2931858057757,2,138398.0061874856
939.4989415641891,4,1,2553.410014550571,2,220935.74639979482
894.8273504276489,1,2,950.766015468833,5,136986.91015822595
597.8999788110851,1,2,508.4782400582775,4,83829.22468178209
921.8742350231169,3,1,1670.4037873750506,2,175551.22189999258
88.4925020519195,3,2,2808.464322482343,4,151754.74278127094
195.9828624191452,2,2,2088.089390024919,2,125514.48194608855
45.227288910538064,4,1,1710.183510268095,2,90937.27737205937
325.3303307632643,3,1,291.5294813123056,3,47222.2531542052
